testClassName,testMethodName,potentialTargetQualifiedName,AAA
SortedLogRecoveryTest,testSkipSuccessfulCompaction,NEW org.apache.hadoop.io.Text(String),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,NEW org.apache.accumulo.server.data.ServerMutation(Text),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"org.apache.accumulo.core.data.Mutation.put(Text, Text, Value)",0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,NEW org.apache.hadoop.io.Text(String),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,NEW org.apache.accumulo.server.data.ServerMutation(Text),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"org.apache.accumulo.core.data.Mutation.put(Text, Text, Value)",0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,     NEW org.apache.accumulo.tserver.log.SortedLogRecoveryTest.KeyValue(),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"TEST org.apache.accumulo.tserver.log.SortedLogRecoveryTest.createKeyValue(LogEvents, long, int, Object)",0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"TEST org.apache.accumulo.tserver.log.SortedLogRecoveryTest.createKeyValue(LogEvents, long, int, Object)",0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"TEST org.apache.accumulo.tserver.log.SortedLogRecoveryTest.createKeyValue(LogEvents, long, int, Object)",0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"TEST org.apache.accumulo.tserver.log.SortedLogRecoveryTest.createKeyValue(LogEvents, long, int, Object)",0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"TEST org.apache.accumulo.tserver.log.SortedLogRecoveryTest.createKeyValue(LogEvents, long, int, Object)",0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          NEW org.junit.rules.TemporaryFolder(File),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          org.apache.accumulo.server.fs.VolumeManagerImpl.getLocal(String),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          NEW org.apache.hadoop.fs.Path(String),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          org.apache.accumulo.server.fs.VolumeManager.deleteRecursively(Path),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          NEW org.apache.hadoop.fs.Path(String),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          org.apache.accumulo.server.fs.VolumeManager.getVolumeByPath(Path),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          org.apache.accumulo.core.volume.Volume.getFileSystem(),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"          NEW org.apache.hadoop.io.MapFile.Writer(Configuration, FileSystem, String, Class<? extends WritableComparable>, Class)",0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          org.apache.accumulo.server.log.SortedLogState.getFinishedMarkerPath(String),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          NEW org.apache.hadoop.fs.Path(String),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          NEW org.apache.accumulo.tserver.log.SortedLogRecovery(VolumeManager),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,          NEW org.apache.accumulo.tserver.log.SortedLogRecoveryTest.CaptureMutations(),0
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"          org.apache.accumulo.tserver.log.SortedLogRecovery.recover(KeyExtent, List<Path>, Set<String>, MutationReceiver)",1
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"ASSERT org.junit.Assert.assertEquals(long, long)",2
SortedLogRecoveryTest,testSkipSuccessfulCompaction,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
