testClassName,testMethodName,potentialTargetQualifiedName,AAA
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,NEW org.apache.cloudstack.api.command.QuotaEmailTemplateUpdateCmd(),0
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.command.QuotaEmailTemplateUpdateCmd.execute(),1
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.ServerApiException.getErrorCode(),2
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.command.QuotaEmailTemplateUpdateCmd.setTemplateName(String),0
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.command.QuotaEmailTemplateUpdateCmd.setTemplateBody(String),0
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.command.QuotaEmailTemplateUpdateCmd.setTemplateSubject(String),0
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.command.QuotaEmailTemplateUpdateCmd.execute(),1
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.ServerApiException.getErrorCode(),2
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.command.QuotaEmailTemplateUpdateCmd.setTemplateName(String),0
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.response.QuotaResponseBuilder.updateQuotaEmailTemplate(QuotaEmailTemplateUpdateCmd),0
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.command.QuotaEmailTemplateUpdateCmd.execute(),1
QuotaEmailTemplateUpdateCmdTest,testQuotaEmailTemplateUpdateCmd,org.apache.cloudstack.api.response.QuotaResponseBuilder.updateQuotaEmailTemplate(QuotaEmailTemplateUpdateCmd),2
