testClassName,testMethodName,potentialTargetQualifiedName,AAA
ParserTest,testLiteralArrayImplicitStringParseException,ExpectedException org.junit.rules.ExpectedException.expect(Class<? extends Throwable>),0
ParserTest,testLiteralArrayImplicitStringParseException,ExpectedException org.junit.rules.ExpectedException.expectMessage(String),0
ParserTest,testLiteralArrayImplicitStringParseException,     org.apache.druid.math.expr.ExprMacroTable.nil(),0
ParserTest,testLiteralArrayImplicitStringParseException,"     org.apache.druid.math.expr.Parser.parse(String, ExprMacroTable)",1
ParserTest,testLiteralArrayImplicitStringParseException,"     org.apache.druid.math.expr.Parser.withMap(Map<String,?>)",0
ParserTest,testLiteralArrayImplicitStringParseException,     org.apache.druid.math.expr.Expr.eval(ObjectBinding),1
ParserTest,testLiteralArrayImplicitStringParseException,     org.apache.druid.math.expr.ExprEval.value(),2
ParserTest,testLiteralArrayImplicitStringParseException,"     ASSERT org.junit.Assert.assertArrayEquals(String, Object[], Object[])",2
ParserTest,testLiteralArrayImplicitStringParseException,"     ASSERT org.junit.Assert.assertEquals(Object, Object)",2
ParserTest,testLiteralArrayImplicitStringParseException,     org.apache.druid.math.expr.ExprMacroTable.nil(),0
ParserTest,testLiteralArrayImplicitStringParseException,"     org.apache.druid.math.expr.Parser.parse(String, ExprMacroTable, boolean)",1
ParserTest,testLiteralArrayImplicitStringParseException,     org.apache.druid.math.expr.Expr.stringify(),0
ParserTest,testLiteralArrayImplicitStringParseException,     org.apache.druid.math.expr.ExprMacroTable.nil(),0
ParserTest,testLiteralArrayImplicitStringParseException,"     org.apache.druid.math.expr.Parser.parse(String, ExprMacroTable)",1
ParserTest,testLiteralArrayImplicitStringParseException,"     ASSERT org.junit.Assert.assertArrayEquals(String, Object[], Object[])",2
ParserTest,testLiteralArrayImplicitStringParseException,"     org.apache.druid.math.expr.Parser.withMap(Map<String,?>)",2
ParserTest,testLiteralArrayImplicitStringParseException,     org.apache.druid.math.expr.Expr.eval(ObjectBinding),1
ParserTest,testLiteralArrayImplicitStringParseException,     org.apache.druid.math.expr.ExprEval.value(),2
ParserTest,testLiteralArrayImplicitStringParseException,     org.apache.druid.math.expr.Expr.stringify(),2
ParserTest,testLiteralArrayImplicitStringParseException,     org.apache.druid.math.expr.Expr.stringify(),2
ParserTest,testLiteralArrayImplicitStringParseException,"     ASSERT org.junit.Assert.assertEquals(Object, Object)",2
