testClassName,testMethodName,potentialTargetQualifiedName,AAA
GroupByQueryRunnerTest,testGroupByWithFirstLast,     org.apache.druid.query.groupby.GroupByQueryConfig.getDefaultStrategy(),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,     ExpectedException org.junit.rules.ExpectedException.expect(Class<? extends Throwable>),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,     ExpectedException org.junit.rules.ExpectedException.expectMessage(String),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,     org.apache.druid.query.groupby.GroupByQuery.builder(),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,     TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeContext(),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"     org.apache.druid.query.groupby.GroupByQuery.Builder.overrideContext(Map<String,Object>)",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,org.apache.druid.query.groupby.GroupByQuery.Builder.setDataSource(String),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,org.apache.druid.query.groupby.GroupByQuery.Builder.setQuerySegmentSpec(QuerySegmentSpec),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"NEW org.apache.druid.query.dimension.DefaultDimensionSpec(String, String)",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,org.apache.druid.query.groupby.GroupByQuery.Builder.setDimensions(DimensionSpec[]),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"NEW org.apache.druid.query.aggregation.first.LongFirstAggregatorFactory(String, String)",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"NEW org.apache.druid.query.aggregation.last.LongLastAggregatorFactory(String, String)",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,org.apache.druid.query.groupby.GroupByQuery.Builder.setAggregatorSpecs(AggregatorFactory[]),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,org.apache.druid.query.groupby.GroupByQuery.Builder.setGranularity(Granularity),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,org.apache.druid.query.groupby.GroupByQuery.Builder.build(),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,          org.apache.druid.java.util.common.DateTimes.of(String),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,               org.apache.druid.query.groupby.GroupByQuery.getResultRowSizeWithPostAggregators(),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,               org.apache.druid.query.groupby.ResultRow.create(int),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,               org.apache.druid.query.groupby.GroupByQuery.getResultRowHasTimestamp(),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"               org.apache.druid.query.groupby.ResultRow.set(int, Object)",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,               org.apache.druid.query.groupby.GroupByQuery.getResultRowSignature(),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,               org.apache.druid.segment.column.RowSignature.indexOf(String),0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"               org.apache.druid.query.groupby.ResultRow.set(int, Object)",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,"TEST org.apache.druid.query.groupby.GroupByQueryRunnerTest.makeRow(GroupByQuery, String, Object[])",0
GroupByQueryRunnerTest,testGroupByWithFirstLast,     org.apache.druid.query.QueryRunnerFactory.getToolchest(),0
