testClassName,testMethodName,potentialTargetQualifiedName,AAA
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,          NEW org.joda.time.Period(Object),0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,          NEW org.joda.time.Period(Object),0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,          NEW org.joda.time.Period(Object),0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,          NEW org.joda.time.Period(Object),0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,"          NEW org.apache.druid.indexing.kinesis.supervisor.KinesisSupervisorIOConfig(String, InputFormat, String, KinesisRegion, Integer, Integer, Period, Period, Period, Boolean, Period, Period, Period, DateTime, Integer, Integer, String, String, boolean)",0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,"          NEW anonymous(HttpClient, ObjectMapper)",0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,"          ASSERT org.junit.Assert.assertEquals(long, long)",0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,"          ASSERT org.junit.Assert.assertEquals(Object, Object)",0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,"          ASSERT org.junit.Assert.assertEquals(long, long)",0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,          NEW org.joda.time.Period(Object),0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,"          NEW org.apache.druid.indexing.kinesis.supervisor.KinesisSupervisorTuningConfig(Integer, Long, Integer, Long, Period, File, Integer, IndexSpec, IndexSpec, Boolean, Boolean, Long, Boolean, Boolean, SegmentWriteOutMediumFactory, Integer, Integer, Long, Period, Period, Integer, Integer, Integer, Integer, Integer, Boolean, Integer, Integer, Integer, Period, Period, Period)",0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,          NEW org.apache.druid.server.metrics.NoopServiceEmitter(),0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,          NEW org.apache.druid.server.metrics.DruidMonitorSchedulerConfig(),0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,          NEW org.apache.druid.indexing.overlord.supervisor.SupervisorStateManagerConfig(),0
KinesisSupervisorTest,testCheckpointForUnknownTaskGroup,"          NEW org.apache.druid.indexing.kinesis.supervisor.KinesisSupervisorSpec(KinesisSupervisorIngestionSpec, DataSchema, KinesisSupervisorTuningConfig, KinesisSupervisorIOConfig, Map<String,Object>, Boolean, TaskStorage, TaskMaster, IndexerMetadataStorageCoordinator, KinesisIndexTaskClientFactory, ObjectMapper, ServiceEmitter, DruidMonitorSchedulerConfig, RowIngestionMetersFactory, AWSCredentialsConfig, SupervisorStateManagerConfig)",0
