testClassName,testMethodName,potentialTargetQualifiedName,AAA
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"NEW org.apache.druid.indexer.partitions.HashedPartitionsSpec(Integer, Integer, List<String>)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,     TEST org.apache.druid.indexing.common.task.batch.parallel.AbstractMultiPhaseParallelIndexingTest.isUseInputFormatApi(),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.segment.indexing.granularity.UniformGranularitySpec(Granularity, Granularity, List<Interval>)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,                    NEW org.apache.druid.data.input.MaxSizeSplitHintSpec(Long),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"                    NEW org.apache.druid.indexing.common.task.batch.parallel.ParallelIndexTuningConfig(Integer, Integer, Integer, Long, Long, Integer, SplitHintSpec, PartitionsSpec, IndexSpec, IndexSpec, Integer, Boolean, Boolean, Long, SegmentWriteOutMediumFactory, Integer, Integer, Integer, Long, Duration, Integer, Integer, Integer, Boolean, Integer, Integer)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.data.input.impl.LocalInputSource(File, String)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.indexing.common.task.batch.parallel.ParallelIndexIOConfig(FirehoseFactory, InputSource, InputFormat, Boolean)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.segment.indexing.DataSchema(String, TimestampSpec, DimensionsSpec, AggregatorFactory[], GranularitySpec, TransformSpec)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.indexing.common.task.batch.parallel.ParallelIndexIngestionSpec(DataSchema, ParallelIndexIOConfig, ParallelIndexTuningConfig)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.query.aggregation.LongSumAggregatorFactory(String, String)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.segment.realtime.firehose.LocalFirehoseFactory(File, String, StringInputRowParser)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.indexing.common.task.batch.parallel.ParallelIndexIOConfig(FirehoseFactory, Boolean)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,               TEST org.apache.druid.indexing.common.task.IngestionTestBase.getObjectMapper(),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.data.input.impl.StringInputRowParser(ParseSpec, String)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,               TEST org.apache.druid.indexing.common.task.IngestionTestBase.getObjectMapper(),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.segment.indexing.DataSchema(String, Map<String,Object>, AggregatorFactory[], GranularitySpec, TransformSpec, ObjectMapper)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.indexing.common.task.batch.parallel.ParallelIndexIngestionSpec(DataSchema, ParallelIndexIOConfig, ParallelIndexTuningConfig)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.query.aggregation.LongSumAggregatorFactory(String, String)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               NEW org.apache.druid.indexing.common.task.batch.parallel.ParallelIndexSupervisorTask(String, String, TaskResource, ParallelIndexIngestionSpec, Map<String,Object>, IndexingServiceClient, ChatHandlerProvider, AuthorizerMapper, RowIngestionMetersFactory, AppenderatorsManager)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"               org.apache.druid.indexing.common.task.Task.addToContext(String, Object)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,               TEST org.apache.druid.indexing.common.task.batch.parallel.AbstractParallelIndexSupervisorTaskTest.getIndexingServiceClient(),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"                         org.apache.druid.indexing.common.task.Task.getContextValue(String, Boolean)",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"                         org.apache.druid.java.util.common.logger.Logger.error(Throwable, String, Object[])",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,                              NEW org.apache.druid.indexing.common.task.batch.parallel.AbstractParallelIndexSupervisorTaskTest.TaskContainer(Task),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,                              org.apache.druid.indexing.common.task.Task.getId(),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,                              org.apache.druid.indexing.common.task.Task.getId(),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"                              NEW org.apache.druid.java.util.common.ISE(String, Object[])",0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,                                   org.apache.druid.indexing.overlord.TaskLockbox.add(Task),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,                                   org.apache.druid.indexing.common.task.Task.getId(),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,                                   org.apache.druid.indexer.TaskStatus.running(String),0
HashPartitionMultiPhaseParallelIndexingTest,testAppendLinearlyPartitionedSegmensToHashPartitionedDatasourceSuccessfullyAppend,"                                   org.apache.druid.indexing.overlord.TaskStorage.insert(Task, TaskStatus)",0
