testClassName,testMethodName,potentialTargetQualifiedName,AAA
CachingClusteredClientTest,testTimeSeriesWithFilter,"NEW org.apache.druid.query.filter.SelectorDimFilter(String, String, ExtractionFn)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,"NEW org.apache.druid.query.filter.BoundDimFilter(String, String, String, Boolean, Boolean, Boolean, ExtractionFn, StringComparator)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,NEW org.apache.druid.query.filter.OrDimFilter(DimFilter[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,"NEW org.apache.druid.query.filter.InDimFilter(String, Collection<String>, ExtractionFn)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,"NEW org.apache.druid.query.filter.BoundDimFilter(String, String, String, Boolean, Boolean, Boolean, ExtractionFn, StringComparator)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,"NEW org.apache.druid.query.filter.BoundDimFilter(String, String, String, Boolean, Boolean, Boolean, ExtractionFn, StringComparator)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,NEW org.apache.druid.query.filter.AndDimFilter(DimFilter[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,NEW org.apache.druid.query.filter.AndDimFilter(DimFilter[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.query.Druids.newTimeseriesQueryBuilder(),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.dataSource(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.intervals(QuerySegmentSpec),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.filters(DimFilter),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.granularity(Granularity),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.aggregators(List<AggregatorFactory>),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.postAggregators(List<PostAggregator>),0
CachingClusteredClientTest,testTimeSeriesWithFilter,"org.apache.druid.query.Druids.TimeseriesQueryBuilder.context(Map<String,Object>)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,     NEW anonymous(),0
CachingClusteredClientTest,testTimeSeriesWithFilter,     org.apache.druid.query.QueryPlus.getQuery(),0
CachingClusteredClientTest,testTimeSeriesWithFilter,     org.apache.druid.query.QueryPlus.getQuery(),0
CachingClusteredClientTest,testTimeSeriesWithFilter,     org.apache.druid.query.Query.getIntervals(),0
CachingClusteredClientTest,testTimeSeriesWithFilter,"     org.apache.druid.client.CachingClusteredClient.getQueryRunnerForIntervals(Query<Object>, Iterable<Interval>)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,NEW org.apache.druid.query.timeseries.TimeseriesQueryQueryToolChest(),0
CachingClusteredClientTest,testTimeSeriesWithFilter,"NEW org.apache.druid.query.FinalizeResultsQueryRunner(QueryRunner, QueryToolChest)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,"     NEW org.apache.druid.java.util.common.ISE(String, Object[])",0
CachingClusteredClientTest,testTimeSeriesWithFilter,"     NEW org.apache.druid.query.timeseries.TimeseriesResultValue(Map<String,Object>)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,"     NEW org.apache.druid.query.Result<org.apache.druid.query.timeseries.TimeseriesResultValue>(DateTime, TimeseriesResultValue)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.randomQueryId(),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.build(),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.Intervals.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.Intervals.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.Intervals.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.Intervals.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.Intervals.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.Intervals.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.Intervals.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.Intervals.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.Intervals.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.Intervals.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,org.apache.druid.java.util.common.DateTimes.of(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,TEST org.apache.druid.client.CachingClusteredClientTest.makeTimeResults(Object[]),0
CachingClusteredClientTest,testTimeSeriesWithFilter,"          NEW org.apache.druid.java.util.common.ISE(String, Object[])",0
CachingClusteredClientTest,testTimeSeriesWithFilter,"     NEW org.joda.time.Interval(ReadableInstant, ReadableInstant)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,"          NEW org.apache.druid.timeline.VersionedIntervalTimeline<java.lang.String,org.apache.druid.client.selector.ServerSelector>(Comparator<? super String>)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,               MOCK org.easymock.EasyMock.createMock(Class<?>),0
CachingClusteredClientTest,testTimeSeriesWithFilter,"          NEW org.apache.druid.client.CachingClusteredClientTest.ServerExpectations(DruidServer, QueryRunner)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,"          NEW org.apache.druid.timeline.partition.SingleDimensionShardSpec(String, String, String, int, Integer)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,"          NEW org.apache.druid.timeline.partition.SingleDimensionShardSpec(String, String, String, int, Integer)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,               MOCK org.easymock.EasyMock.createMock(Class<?>),0
CachingClusteredClientTest,testTimeSeriesWithFilter,"          org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
CachingClusteredClientTest,testTimeSeriesWithFilter,          org.apache.druid.timeline.SegmentId.dummy(String),0
CachingClusteredClientTest,testTimeSeriesWithFilter,"          NEW org.apache.druid.client.CachingClusteredClientTest.ServerExpectation<java.lang.Object>(SegmentId, Interval, DataSegment, ShardSpec, Iterable<Result<Object>>)",0
CachingClusteredClientTest,testTimeSeriesWithFilter,          TEST org.apache.druid.client.CachingClusteredClientTest.ServerExpectations.addExpectation(ServerExpectation),0
CachingClusteredClientTest,testTimeSeriesWithFilter,          org.apache.druid.timeline.DataSegment.getSize(),0
CachingClusteredClientTest,testTimeSeriesWithFilter,          MOCK org.easymock.EasyMock.expect(Long),0
