testClassName,testMethodName,potentialTargetQualifiedName,AAA
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,TEST org.apache.druid.sql.calcite.BaseCalciteQueryTest.cannotVectorize(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.groupby.GroupByQuery.builder(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,NEW org.apache.druid.query.TableDataSource(String),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.Druids.newTimeseriesQueryBuilder(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.dataSource(String),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.sql.calcite.filtration.Filtration.eternity(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,     NEW org.apache.druid.query.spec.MultipleIntervalSegmentSpec(List<Interval>),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.intervals(QuerySegmentSpec),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,"NEW org.apache.druid.query.filter.LikeDimFilter(String, String, String, ExtractionFn)",0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.filters(DimFilter),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.granularity(Granularity),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,NEW org.apache.druid.query.aggregation.CountAggregatorFactory(String),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.aggregators(AggregatorFactory[]),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,"org.apache.druid.query.Druids.TimeseriesQueryBuilder.context(Map<String,Object>)",0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.Druids.TimeseriesQueryBuilder.build(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,NEW org.apache.druid.query.QueryDataSource(Query),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,          NEW org.apache.druid.math.expr.ExprMacroTable(List<ExprMacro>),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,"     org.apache.druid.query.JoinDataSource.create(DataSource, DataSource, String, String, JoinType, ExprMacroTable)",0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.groupby.GroupByQuery.builder(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.groupby.GroupByQuery.Builder.setDataSource(String),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.sql.calcite.filtration.Filtration.eternity(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,TEST org.apache.druid.sql.calcite.BaseCalciteQueryTest.querySegmentSpec(Interval[]),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.groupby.GroupByQuery.Builder.setInterval(QuerySegmentSpec),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.groupby.GroupByQuery.Builder.setGranularity(Granularity),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,     TEST org.apache.druid.sql.calcite.util.CalciteTests.createExprMacroTable(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,"     NEW org.apache.druid.segment.virtual.ExpressionVirtualColumn(String, String, ValueType, ExprMacroTable)",0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.groupby.GroupByQuery.Builder.setVirtualColumns(VirtualColumn[]),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,"NEW org.apache.druid.query.filter.LikeDimFilter(String, String, String, ExtractionFn)",0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.groupby.GroupByQuery.Builder.setDimFilter(DimFilter),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,"NEW org.apache.druid.query.dimension.DefaultDimensionSpec(String, String)",0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,"NEW org.apache.druid.query.dimension.DefaultDimensionSpec(String, String, ValueType)",0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,TEST org.apache.druid.sql.calcite.BaseCalciteQueryTest.dimensions(DimensionSpec[]),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.groupby.GroupByQuery.Builder.setDimensions(List<DimensionSpec>),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,"org.apache.druid.query.groupby.GroupByQuery.Builder.setContext(Map<String,Object>)",0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.groupby.GroupByQuery.Builder.build(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,NEW org.apache.druid.query.QueryDataSource(Query),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.sql.calcite.expression.DruidExpression.fromColumn(String),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.sql.calcite.expression.DruidExpression.fromColumn(String),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,     org.apache.druid.sql.calcite.expression.DruidExpression.getExpression(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,     org.apache.druid.sql.calcite.expression.DruidExpression.getExpression(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,"     org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,"TEST org.apache.druid.sql.calcite.BaseCalciteQueryTest.join(DataSource, DataSource, String, String, JoinType)",0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.query.groupby.GroupByQuery.Builder.setDataSource(DataSource),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,org.apache.druid.sql.calcite.filtration.Filtration.eternity(),0
CalciteQueryTest,testUsingSubqueryAsPartOfOrFilter,TEST org.apache.druid.sql.calcite.BaseCalciteQueryTest.querySegmentSpec(Interval[]),0
