testClassName,testMethodName,potentialTargetQualifiedName,AAA
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.EasyMock.anyObject(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,org.apache.druid.indexing.kinesis.KinesisRecordSupplier.assign(Set<StreamPartition<String>>),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.EasyMock.expectLastCall(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.IExpectationSetters<java.lang.Object>.anyTimes(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.EasyMock.anyObject(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,org.apache.druid.indexing.kinesis.KinesisRecordSupplier.getEarliestSequenceNumber(StreamPartition<String>),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.EasyMock.expect(String),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.IExpectationSetters<java.lang.String>.andReturn(String),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.IExpectationSetters<java.lang.String>.anyTimes(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.EasyMock.anyObject(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.EasyMock.anyString(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,"org.apache.druid.indexing.kinesis.KinesisRecordSupplier.seek(StreamPartition<String>, String)",0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.EasyMock.expectLastCall(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.IExpectationSetters<java.lang.Object>.anyTimes(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.EasyMock.anyLong(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,org.apache.druid.indexing.kinesis.KinesisRecordSupplier.poll(long),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,"MOCK org.easymock.EasyMock.expect(List<OrderedPartitionableRecord<String,String>>)",0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,"MOCK org.easymock.IExpectationSetters<java.util.List<org.apache.druid.indexing.seekablestream.common.OrderedPartitionableRecord<java.lang.String,java.lang.String>>>.andReturn(List<OrderedPartitionableRecord<String,String>>)",0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,"MOCK org.easymock.IExpectationSetters<java.util.List<org.apache.druid.indexing.seekablestream.common.OrderedPartitionableRecord<java.lang.String,java.lang.String>>>.once()",0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,org.apache.druid.indexing.kinesis.KinesisRecordSupplier.close(),0
KinesisIndexTaskTest,testRunOneTaskTwoPartitions,MOCK org.easymock.EasyMock.expectLastCall(),0
