testClassName,testMethodName,potentialTargetQualifiedName,AAA
RouterDeploymentDefinitionTest,testDeployVirtualRouter,@EXPECTED java.lang.Class<com.cloud.exception.ConcurrentOperationException>,0
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.lock(),0
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.checkPreconditions(),0
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.findDestinations(),0
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.planDeploymentRouters(),0
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.generateDeploymentPlan(),0
RouterDeploymentDefinitionTest,testDeployVirtualRouter,NEW com.cloud.exception.ConcurrentOperationException(String),0
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.executeDeployment(),0
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.unlock(),0
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.findOrDeployVirtualRouter(),1
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.lock(),2
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.checkPreconditions(),2
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.findDestinations(),2
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.generateDeploymentPlan(),2
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.executeDeployment(),2
RouterDeploymentDefinitionTest,testDeployVirtualRouter,org.cloud.network.router.deployment.RouterDeploymentDefinition.unlock(),2
RouterDeploymentDefinitionTest,testDeployVirtualRouter,ASSERT junit.framework.Assert.fail(),2
