testClassName,testMethodName,potentialTargetQualifiedName,AAA
CertServiceTest,runUploadSslCertSelfSignedNoPassword,com.cloud.utils.db.TransactionLegacy.open(String),0
CertServiceTest,runUploadSslCertSelfSignedNoPassword,NEW org.apache.cloudstack.network.ssl.CertServiceImpl(),0
CertServiceTest,runUploadSslCertSelfSignedNoPassword,"NEW com.cloud.user.AccountVO(String, long, String, short, String)",0
CertServiceTest,runUploadSslCertSelfSignedNoPassword,com.cloud.user.AccountService.getAccount(long),0
CertServiceTest,runUploadSslCertSelfSignedNoPassword,"NEW com.cloud.domain.DomainVO(String, long, Long, String)",0
CertServiceTest,runUploadSslCertSelfSignedNoPassword,com.cloud.utils.db.GenericDao.findByIdIncludingRemoved(Long),0
CertServiceTest,runUploadSslCertSelfSignedNoPassword,com.cloud.utils.db.GenericDao.persist(SslCertVO),0
CertServiceTest,runUploadSslCertSelfSignedNoPassword,NEW com.cloud.network.dao.SslCertVO(),0
CertServiceTest,runUploadSslCertSelfSignedNoPassword,com.cloud.utils.db.GenericDao.findByIdIncludingRemoved(Long),0
CertServiceTest,runUploadSslCertSelfSignedNoPassword,NEW org.apache.cloudstack.network.ssl.CertServiceTest.UploadSslCertCmdExtn(),0
CertServiceTest,runUploadSslCertSelfSignedNoPassword,org.apache.cloudstack.network.ssl.CertServiceImpl.uploadSslCert(UploadSslCertCmd),1
CertServiceTest,runUploadSslCertSelfSignedNoPassword,org.apache.cloudstack.api.command.user.loadbalancer.UploadSslCertCmd.getAccountName(),2
CertServiceTest,runUploadSslCertSelfSignedNoPassword,org.apache.cloudstack.api.command.user.loadbalancer.UploadSslCertCmd.getCert(),2
