testClassName,testMethodName,potentialTargetQualifiedName,AAA
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,NEW streamer.debug.MockServer(Packet[]),0
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,NEW anonymous(String),0
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,NEW anonymous(String),0
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,NEW anonymous(String),0
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,NEW anonymous(String),0
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,NEW anonymous(String),0
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,streamer.debug.MockServer.start(),1
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,streamer.debug.MockServer.getAddress(),1
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,streamer.debug.MockServer.waitUntilShutdowned(long),1
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,streamer.debug.MockServer.getException(),1
MockServerTest,testIsMockServerCanUpgradeConnectionToSsl,streamer.debug.MockServer.isShutdowned(),1
