testClassName,testMethodName,potentialTargetQualifiedName,AAA
TaskMonitorTest,testRetry,NEW org.apache.druid.indexing.common.task.batch.parallel.TaskMonitorTest.IntegerInputSplit(int),0
TaskMonitorTest,testRetry,"NEW org.apache.druid.indexing.common.task.batch.parallel.TaskMonitorTest.TestTaskSpec(String, String, String, Map<String,Object>, InputSplit, long, int, boolean)",0
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.TaskMonitor<org.apache.druid.indexing.common.task.batch.parallel.TaskMonitorTest.TestTask>.submit(SubTaskSpec<TestTask>),1
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.TaskMonitor.SubTaskCompleteEvent.getSpec(),2
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.SubTaskSpec.getSupervisorTaskId(),2
TaskMonitorTest,testRetry,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.TaskMonitor.SubTaskCompleteEvent.getSpec(),2
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.SubTaskSpec.getId(),2
TaskMonitorTest,testRetry,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.TaskMonitor.SubTaskCompleteEvent.getLastStatus(),2
TaskMonitorTest,testRetry,ASSERT org.junit.Assert.assertNotNull(Object),2
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.TaskMonitor.SubTaskCompleteEvent.getLastStatus(),2
TaskMonitorTest,testRetry,org.apache.druid.indexer.TaskStatusPlus.getStatusCode(),2
TaskMonitorTest,testRetry,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.TaskMonitor.SubTaskCompleteEvent.getLastState(),2
TaskMonitorTest,testRetry,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.SubTaskSpec.getId(),2
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.TaskMonitor.getCompleteSubTaskSpecHistory(String),2
TaskMonitorTest,testRetry,ASSERT org.junit.Assert.assertNotNull(Object),2
TaskMonitorTest,testRetry,org.apache.druid.indexing.common.task.batch.parallel.TaskHistory.getAttemptHistory(),2
TaskMonitorTest,testRetry,ASSERT org.junit.Assert.assertNotNull(Object),2
TaskMonitorTest,testRetry,"ASSERT org.junit.Assert.assertEquals(long, long)",2
TaskMonitorTest,testRetry,org.apache.druid.indexer.TaskStatusPlus.getStatusCode(),2
TaskMonitorTest,testRetry,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
TaskMonitorTest,testRetry,org.apache.druid.indexer.TaskStatusPlus.getStatusCode(),2
TaskMonitorTest,testRetry,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
