testClassName,testMethodName,potentialTargetQualifiedName,AAA
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               NEW org.apache.druid.segment.incremental.IncrementalIndexSchema.Builder(),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.java.util.common.DateTimes.of(String),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.segment.incremental.IncrementalIndexSchema.Builder.withMinTimestamp(long),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.segment.incremental.IncrementalIndexSchema.Builder.withQueryGranularity(Granularity),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.segment.incremental.IncrementalIndexSchema.Builder.withMetrics(AggregatorFactory[]),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.segment.incremental.IncrementalIndexSchema.Builder.build(),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               NEW org.apache.druid.segment.incremental.IncrementalIndex.Builder(),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.segment.incremental.IncrementalIndex.Builder.setIndexSchema(IncrementalIndexSchema),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.segment.incremental.IncrementalIndex.Builder.setMaxRowCount(int),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.segment.incremental.IncrementalIndex.Builder.buildOnheap(),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,"          NEW org.apache.druid.data.input.impl.TimestampSpec(String, String, DateTime)",0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,"          NEW org.apache.druid.data.input.impl.DimensionsSpec(List<DimensionSchema>, List<String>, List<SpatialDimensionSchema>)",0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,"          NEW org.apache.druid.data.input.impl.DelimitedParseSpec(TimestampSpec, DimensionsSpec, String, String, List<String>, boolean, int)",0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,"          NEW org.apache.druid.data.input.impl.StringInputRowParser(ParseSpec, String)",0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               NEW anonymous(),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.data.input.impl.StringInputRowParser.parse(String),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.segment.incremental.IncrementalIndex.add(InputRow),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,"               org.apache.druid.java.util.common.logger.Logger.info(String, Object[])",0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,     TEST org.apache.druid.query.timeboundary.TimeBoundaryQueryRunnerTest.newIndex(String),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,"     TEST org.apache.druid.segment.TestIndex.loadIncrementalIndex(IncrementalIndex, CharSource)",0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,          org.apache.druid.segment.incremental.IncrementalIndex.getInterval(),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,               org.apache.druid.timeline.partition.NoneShardSpec.instance(),0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,"               org.apache.druid.timeline.SegmentId.of(String, Interval, String, ShardSpec)",0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,"     NEW org.apache.druid.segment.IncrementalIndexSegment(IncrementalIndex, SegmentId)",0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,"     TEST org.apache.druid.query.timeboundary.TimeBoundaryQueryRunnerTest.makeIdentifier(IncrementalIndex, String)",0
TimeBoundaryQueryRunnerTest,testFilteredTimeBoundaryQueryNoMatches,"     NEW org.apache.druid.segment.IncrementalIndexSegment(IncrementalIndex, SegmentId)",0
