testClassName,testMethodName,potentialTargetQualifiedName,AAA
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,NEW org.apache.druid.query.CachingEmitter(),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"NEW org.apache.druid.java.util.emitter.service.ServiceEmitter(String, String, Emitter)",0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,NEW org.apache.druid.query.DefaultQueryMetrics<org.apache.druid.query.Query<?>>(),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,NEW org.apache.druid.query.topn.TopNQueryBuilder(),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.topn.TopNQueryBuilder.dataSource(String),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.topn.TopNQueryBuilder.granularity(Granularity),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"NEW org.apache.druid.query.dimension.DefaultDimensionSpec(String, String)",0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"NEW org.apache.druid.query.dimension.ListFilteredDimensionSpec(DimensionSpec, Set<String>, Boolean)",0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.topn.TopNQueryBuilder.dimension(DimensionSpec),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.topn.TopNQueryBuilder.metric(String),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.topn.TopNQueryBuilder.intervals(QuerySegmentSpec),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,NEW org.apache.druid.query.aggregation.CountAggregatorFactory(String),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.topn.TopNQueryBuilder.aggregators(AggregatorFactory[]),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.topn.TopNQueryBuilder.threshold(int),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"NEW org.apache.druid.query.filter.SelectorDimFilter(String, String, ExtractionFn)",0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.topn.TopNQueryBuilder.filters(DimFilter),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.topn.TopNQueryBuilder.build(),0
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.DefaultQueryMetrics.query(Query<?>),1
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.DefaultQueryMetrics.reportQueryTime(long),2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.QueryMetrics.emit(ServiceEmitter),2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,TEST org.apache.druid.query.CachingEmitter.getLastEmittedEvent(),2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.java.util.emitter.core.Event.toMap(),2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(long, long)",2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,ASSERT org.junit.Assert.assertTrue(boolean),2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,ASSERT org.junit.Assert.assertTrue(boolean),2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.topn.TopNQuery.getType(),2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.apache.druid.query.spec.QuerySegmentSpec.getIntervals(),2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,org.joda.time.base.AbstractInterval.toString(),2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
DefaultQueryMetricsTest,testDefaultQueryMetricsQuery,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
