testClassName,testMethodName,potentialTargetQualifiedName,AAA
RunRulesTest,testRunThreeTiersOneReplicant,     org.apache.druid.server.coordinator.DruidCoordinator.getDynamicConfigs(),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.EasyMock.expect(CoordinatorDynamicConfig),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.builder(),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withLeadingTimeMillisBeforeCanMarkAsUnusedOvershadowedSegments(long),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withMergeBytesLimit(long),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withMergeSegmentsLimit(int),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withMaxSegmentsToMove(int),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withReplicantLifetime(int),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withReplicationThrottleLimit(int),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withBalancerComputeThreads(int),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withEmitBalancingStats(boolean),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withSpecificDataSourcesToKillUnusedSegmentsIn(Set<String>),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withKillUnusedSegmentsInAllDataSources(boolean),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withMaxSegmentsInNodeLoadingQueue(int),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.withPauseCoordination(boolean),0
RunRulesTest,testRunThreeTiersOneReplicant,          org.apache.druid.server.coordinator.CoordinatorDynamicConfig.Builder.build(),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<org.apache.druid.server.coordinator.CoordinatorDynamicConfig>.andReturn(CoordinatorDynamicConfig),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<org.apache.druid.server.coordinator.CoordinatorDynamicConfig>.anyTimes(),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.EasyMock.anyObject(),0
RunRulesTest,testRunThreeTiersOneReplicant,     org.apache.druid.server.coordinator.DruidCoordinator.markSegmentAsUnused(DataSegment),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.EasyMock.expectLastCall(),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<java.lang.Object>.anyTimes(),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.EasyMock.replay(Object[]),0
RunRulesTest,testRunThreeTiersOneReplicant,MOCK org.easymock.EasyMock.anyObject(),0
RunRulesTest,testRunThreeTiersOneReplicant,MOCK org.easymock.EasyMock.anyObject(),0
RunRulesTest,testRunThreeTiersOneReplicant,"org.apache.druid.server.coordinator.LoadQueuePeon.loadSegment(DataSegment, LoadPeonCallback)",0
RunRulesTest,testRunThreeTiersOneReplicant,MOCK org.easymock.EasyMock.expectLastCall(),0
RunRulesTest,testRunThreeTiersOneReplicant,MOCK org.easymock.IExpectationSetters<java.lang.Object>.atLeastOnce(),0
RunRulesTest,testRunThreeTiersOneReplicant,     org.apache.druid.server.coordinator.LoadQueuePeon.getSegmentsToLoad(),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.EasyMock.expect(Set<DataSegment>),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<java.util.Set<org.apache.druid.timeline.DataSegment>>.andReturn(Set<DataSegment>),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<java.util.Set<org.apache.druid.timeline.DataSegment>>.anyTimes(),0
RunRulesTest,testRunThreeTiersOneReplicant,     org.apache.druid.server.coordinator.LoadQueuePeon.getSegmentsMarkedToDrop(),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.EasyMock.expect(Set<DataSegment>),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<java.util.Set<org.apache.druid.timeline.DataSegment>>.andReturn(Set<DataSegment>),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<java.util.Set<org.apache.druid.timeline.DataSegment>>.anyTimes(),0
RunRulesTest,testRunThreeTiersOneReplicant,     org.apache.druid.server.coordinator.LoadQueuePeon.getLoadQueueSize(),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.EasyMock.expect(Long),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<java.lang.Long>.andReturn(Long),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<java.lang.Long>.atLeastOnce(),0
RunRulesTest,testRunThreeTiersOneReplicant,     org.apache.druid.server.coordinator.LoadQueuePeon.getNumberOfSegmentsInQueue(),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.EasyMock.expect(Integer),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<java.lang.Integer>.andReturn(Integer),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.IExpectationSetters<java.lang.Integer>.anyTimes(),0
RunRulesTest,testRunThreeTiersOneReplicant,     MOCK org.easymock.EasyMock.replay(Object[]),0
