testClassName,testMethodName,potentialTargetQualifiedName,AAA
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,MOCK org.easymock.EasyMock.anyObject(Class<ByteBuffer>),0
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,MOCK org.easymock.EasyMock.expect(Integer),0
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,MOCK org.easymock.IExpectationSetters<java.lang.Integer>.andAnswer(IAnswer<? extends Integer>),0
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,MOCK org.easymock.IExpectationSetters<java.lang.Integer>.once(),0
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,MOCK org.easymock.EasyMock.getCurrentArguments(),0
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,MOCK org.easymock.EasyMock.anyObject(Class<ByteBuffer>),0
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,MOCK org.easymock.EasyMock.expect(Integer),0
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,MOCK org.easymock.IExpectationSetters<java.lang.Integer>.andThrow(Throwable),0
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,MOCK org.easymock.IExpectationSetters<java.lang.Integer>.once(),0
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,MOCK org.easymock.EasyMock.replay(Object[]),0
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,org.apache.druid.segment.writeout.FileWriteOutBytes.write(ByteBuffer),1
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,ASSERT org.junit.Assert.fail(String),2
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,org.apache.druid.segment.writeout.FileWriteOutBytes.size(),2
FileWriteOutBytesTest,writeBufferLargerThanCapacityThrowsIOEInTheMiddleShouldIncrementSizeCorrectly,"ASSERT org.junit.Assert.assertEquals(long, long)",2
