testClassName,testMethodName,potentialTargetQualifiedName,AAA
BrokerServerViewTest,testMultipleServerAndBroker,"     NEW anonymous(ZkPathsConfig, CuratorFramework, ObjectMapper, Predicate<Pair<DruidServerMetadata,DataSegment>>)",0
BrokerServerViewTest,testMultipleServerAndBroker,     NEW anonymous(),0
BrokerServerViewTest,testMultipleServerAndBroker,"     org.apache.druid.client.ServerView.SegmentCallback.segmentAdded(DruidServerMetadata, DataSegment)",0
BrokerServerViewTest,testMultipleServerAndBroker,"     org.apache.druid.client.ServerView.SegmentCallback.segmentRemoved(DruidServerMetadata, DataSegment)",0
BrokerServerViewTest,testMultipleServerAndBroker,     org.apache.druid.client.ServerView.SegmentCallback.segmentViewInitialized(),0
BrokerServerViewTest,testMultipleServerAndBroker,     MOCK org.easymock.EasyMock.createMock(Class<?>),0
BrokerServerViewTest,testMultipleServerAndBroker,     MOCK org.easymock.EasyMock.createMock(Class<?>),0
BrokerServerViewTest,testMultipleServerAndBroker,          NEW com.fasterxml.jackson.dataformat.smile.SmileFactory(),0
BrokerServerViewTest,testMultipleServerAndBroker,          NEW org.apache.druid.jackson.DefaultObjectMapper(JsonFactory),0
BrokerServerViewTest,testMultipleServerAndBroker,     MOCK org.easymock.EasyMock.createMock(Class<?>),0
BrokerServerViewTest,testMultipleServerAndBroker,     NEW org.apache.druid.client.selector.RandomServerSelectorStrategy(),0
BrokerServerViewTest,testMultipleServerAndBroker,     NEW org.apache.druid.client.selector.HighestPriorityTierSelectorStrategy(ServerSelectorStrategy),0
BrokerServerViewTest,testMultipleServerAndBroker,     NEW org.apache.druid.server.metrics.NoopServiceEmitter(),0
BrokerServerViewTest,testMultipleServerAndBroker,     NEW org.apache.druid.client.BrokerSegmentWatcherConfig(),0
BrokerServerViewTest,testMultipleServerAndBroker,"     NEW org.apache.druid.client.BrokerServerView(QueryToolChestWarehouse, QueryWatcher, ObjectMapper, HttpClient, FilteredServerInventoryView, TierSelectorStrategy, ServiceEmitter, BrokerSegmentWatcherConfig)",1
BrokerServerViewTest,testMultipleServerAndBroker,     org.apache.druid.client.AbstractCuratorServerInventoryView.start(),1
BrokerServerViewTest,testMultipleServerAndBroker,"NEW org.apache.druid.client.DruidServer(String, String, String, long, ServerType, String, int)",0
BrokerServerViewTest,testMultipleServerAndBroker,"NEW org.apache.druid.client.DruidServer(String, String, String, long, ServerType, String, int)",0
BrokerServerViewTest,testMultipleServerAndBroker,     org.apache.druid.server.initialization.ZkPathsConfig.getAnnouncementsPath(),0
BrokerServerViewTest,testMultipleServerAndBroker,     org.apache.druid.server.initialization.ZkPathsConfig.getLiveSegmentsPath(),0
BrokerServerViewTest,testMultipleServerAndBroker,     org.apache.druid.client.DruidServer.getHost(),0
BrokerServerViewTest,testMultipleServerAndBroker,     org.apache.druid.client.DruidServer.getMetadata(),0
BrokerServerViewTest,testMultipleServerAndBroker,     org.apache.druid.client.DruidServer.getHost(),0
BrokerServerViewTest,testMultipleServerAndBroker,     org.apache.druid.client.DruidServer.getMetadata(),0
BrokerServerViewTest,testMultipleServerAndBroker,     org.apache.druid.client.DruidServer.getHost(),0
