testClassName,testMethodName,potentialTargetQualifiedName,AAA
CalciteQueryTest,testMultiValueStringOffsetOf,TEST org.apache.druid.sql.calcite.BaseCalciteQueryTest.cannotVectorize(),0
CalciteQueryTest,testMultiValueStringOffsetOf,org.apache.druid.query.groupby.GroupByQuery.builder(),0
CalciteQueryTest,testMultiValueStringOffsetOf,org.apache.druid.query.groupby.GroupByQuery.Builder.setDataSource(String),0
CalciteQueryTest,testMultiValueStringOffsetOf,org.apache.druid.sql.calcite.filtration.Filtration.eternity(),0
CalciteQueryTest,testMultiValueStringOffsetOf,     NEW org.apache.druid.query.spec.MultipleIntervalSegmentSpec(List<Interval>),0
CalciteQueryTest,testMultiValueStringOffsetOf,org.apache.druid.query.groupby.GroupByQuery.Builder.setInterval(QuerySegmentSpec),0
CalciteQueryTest,testMultiValueStringOffsetOf,org.apache.druid.query.groupby.GroupByQuery.Builder.setGranularity(Granularity),0
CalciteQueryTest,testMultiValueStringOffsetOf,          NEW org.apache.druid.math.expr.ExprMacroTable(List<ExprMacro>),0
CalciteQueryTest,testMultiValueStringOffsetOf,"     NEW org.apache.druid.segment.virtual.ExpressionVirtualColumn(String, String, ValueType, ExprMacroTable)",0
CalciteQueryTest,testMultiValueStringOffsetOf,org.apache.druid.query.groupby.GroupByQuery.Builder.setVirtualColumns(VirtualColumn[]),0
CalciteQueryTest,testMultiValueStringOffsetOf,"NEW org.apache.druid.query.dimension.DefaultDimensionSpec(String, String, ValueType)",0
CalciteQueryTest,testMultiValueStringOffsetOf,TEST org.apache.druid.sql.calcite.BaseCalciteQueryTest.dimensions(DimensionSpec[]),0
CalciteQueryTest,testMultiValueStringOffsetOf,org.apache.druid.query.groupby.GroupByQuery.Builder.setDimensions(List<DimensionSpec>),0
CalciteQueryTest,testMultiValueStringOffsetOf,"NEW org.apache.druid.query.aggregation.LongSumAggregatorFactory(String, String)",0
CalciteQueryTest,testMultiValueStringOffsetOf,TEST org.apache.druid.sql.calcite.BaseCalciteQueryTest.aggregators(AggregatorFactory[]),0
CalciteQueryTest,testMultiValueStringOffsetOf,org.apache.druid.query.groupby.GroupByQuery.Builder.setAggregatorSpecs(List<AggregatorFactory>),0
