testClassName,testMethodName,potentialTargetQualifiedName,AAA
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,TEST org.apache.druid.metadata.TestDerbyConnector.DerbyConnectorRule.metadataTablesConfigSupplier(),0
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"NEW anonymous(ObjectMapper, MetadataStorageTablesConfig, SQLMetadataConnector)",0
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,NEW org.apache.druid.indexing.overlord.ObjectMetadata(Object),0
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,NEW org.apache.druid.indexing.overlord.ObjectMetadata(Object),0
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"org.apache.druid.metadata.IndexerSQLMetadataStorageCoordinator.announceHistoricalSegments(Set<DataSegment>, DataSourceMetadata, DataSourceMetadata)",1
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,org.apache.druid.indexing.overlord.SegmentPublishResult.ok(Set<DataSegment>),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,TEST org.apache.druid.metadata.TestDerbyConnector.DerbyConnectorRule.metadataTablesConfigSupplier(),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,org.apache.druid.metadata.MetadataStorageTablesConfig.getSegmentsTable(),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,org.apache.druid.timeline.DataSegment.getId(),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,org.apache.druid.timeline.SegmentId.toString(),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"org.apache.druid.metadata.SQLMetadataConnector.lookup(String, String, String, String)",2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"ASSERT org.junit.Assert.assertArrayEquals(byte[], byte[])",2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,NEW org.apache.druid.indexing.overlord.ObjectMetadata(Object),0
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,NEW org.apache.druid.indexing.overlord.ObjectMetadata(Object),0
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"org.apache.druid.metadata.IndexerSQLMetadataStorageCoordinator.announceHistoricalSegments(Set<DataSegment>, DataSourceMetadata, DataSourceMetadata)",1
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,org.apache.druid.indexing.overlord.SegmentPublishResult.ok(Set<DataSegment>),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,TEST org.apache.druid.metadata.TestDerbyConnector.DerbyConnectorRule.metadataTablesConfigSupplier(),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,org.apache.druid.metadata.MetadataStorageTablesConfig.getSegmentsTable(),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,org.apache.druid.timeline.DataSegment.getId(),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,org.apache.druid.timeline.SegmentId.toString(),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"org.apache.druid.metadata.SQLMetadataConnector.lookup(String, String, String, String)",2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"ASSERT org.junit.Assert.assertArrayEquals(byte[], byte[])",2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,NEW org.apache.druid.indexing.overlord.ObjectMetadata(Object),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,org.apache.druid.metadata.IndexerSQLMetadataStorageCoordinator.retrieveDataSourceMetadata(String),2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"ASSERT org.junit.Assert.assertEquals(Object, Object)",2
IndexerSQLMetadataStorageCoordinatorTest,testTransactionalAnnounceRetryAndSuccess,"ASSERT org.junit.Assert.assertEquals(long, long)",2
