testClassName,testMethodName,potentialTargetQualifiedName,AAA
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,TEST org.apache.druid.indexing.common.task.AppenderatorDriverRealtimeIndexTaskTest.expectPublishedSegments(int),0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,                    NEW org.apache.druid.jackson.DefaultObjectMapper(),0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,                    NEW com.fasterxml.jackson.databind.InjectableValues.Std(),0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,"               NEW org.apache.druid.data.input.impl.TimestampSpec(String, String, DateTime)",0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,               NEW org.apache.druid.data.input.impl.StringDimensionSchema(String),0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,               NEW org.apache.druid.data.input.impl.StringDimensionSchema(String),0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,               NEW org.apache.druid.data.input.impl.StringDimensionSchema(String),0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,               NEW org.apache.druid.data.input.impl.LongDimensionSchema(String),0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,               NEW org.apache.druid.data.input.impl.FloatDimensionSchema(String),0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,"               NEW org.apache.druid.data.input.impl.DimensionsSpec(List<DimensionSchema>, List<String>, List<SpatialDimensionSchema>)",0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,"               NEW org.apache.druid.data.input.impl.TimeAndDimsParseSpec(TimestampSpec, DimensionsSpec)",0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,               NEW org.apache.druid.data.input.impl.MapInputRowParser(ParseSpec),0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,"               NEW org.apache.druid.segment.indexing.granularity.UniformGranularitySpec(Granularity, Granularity, List<Interval>)",0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,"               NEW org.apache.druid.segment.indexing.DataSchema(String, Map<String,Object>, AggregatorFactory[], GranularitySpec, TransformSpec, ObjectMapper)",0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,               NEW org.apache.druid.query.aggregation.CountAggregatorFactory(String),0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,"               NEW org.apache.druid.query.aggregation.LongSumAggregatorFactory(String, String)",0
AppenderatorDriverRealtimeIndexTaskTest,testReportParseExceptionsOnBadMetric,               NEW org.apache.druid.indexing.common.task.AppenderatorDriverRealtimeIndexTaskTest.TestFirehoseFactory(),0
