testClassName,testMethodName,potentialTargetQualifiedName,AAA
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,TEST org.apache.druid.sql.calcite.BaseCalciteQueryTest.cannotVectorize(),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,NEW org.apache.druid.query.filter.BloomKFilter(long),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.query.filter.BloomKFilter.addString(String),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.guice.BloomFilterSerializersModule.bloomKFilterToBytes(BloomKFilter),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.java.util.common.StringUtils.encodeBase64String(byte[]),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,"org.apache.druid.java.util.common.StringUtils.format(String, Object[])",0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.query.Druids.newTimeseriesQueryBuilder(),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.query.Druids.TimeseriesQueryBuilder.dataSource(String),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.sql.calcite.filtration.Filtration.eternity(),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,     NEW org.apache.druid.query.spec.MultipleIntervalSegmentSpec(List<Interval>),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.query.Druids.TimeseriesQueryBuilder.intervals(QuerySegmentSpec),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.query.Druids.TimeseriesQueryBuilder.granularity(Granularity),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,          NEW org.apache.druid.math.expr.ExprMacroTable(List<ExprMacro>),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,"     NEW org.apache.druid.segment.virtual.ExpressionVirtualColumn(String, String, ValueType, ExprMacroTable)",0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.query.Druids.TimeseriesQueryBuilder.virtualColumns(VirtualColumn[]),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.query.filter.BloomKFilterHolder.fromBloomKFilter(BloomKFilter),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,"NEW org.apache.druid.query.filter.BloomDimFilter(String, BloomKFilterHolder, ExtractionFn)",0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.query.Druids.TimeseriesQueryBuilder.filters(DimFilter),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,NEW org.apache.druid.query.aggregation.CountAggregatorFactory(String),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,TEST org.apache.druid.sql.calcite.BaseCalciteQueryTest.aggregators(AggregatorFactory[]),0
BloomDimFilterSqlTest,testBloomFilterVirtualColumn,org.apache.druid.query.Druids.TimeseriesQueryBuilder.aggregators(List<AggregatorFactory>),0
