testClassName,testMethodName,potentialTargetQualifiedName,AAA
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.joda.time.DateTime(int, int, int, int, int, int, int, Chronology)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
GranularityTest,testFifteenMinuteToDate,"NEW org.apache.druid.java.util.common.GranularityTest.PathDate(DateTime, Class<? extends Exception>, String)",0
