testClassName,testMethodName,potentialTargetQualifiedName,AAA
AbstractRegistryTest,testUnsubscribe,"org.apache.dubbo.registry.support.AbstractRegistry.unsubscribe(URL, NotifyListener)",1
AbstractRegistryTest,testUnsubscribe,ASSERT org.junit.jupiter.api.Assertions.fail(),2
AbstractRegistryTest,testUnsubscribe,ASSERT org.junit.jupiter.api.Assertions.assertTrue(boolean),2
AbstractRegistryTest,testUnsubscribe,"org.apache.dubbo.registry.support.AbstractRegistry.unsubscribe(URL, NotifyListener)",1
AbstractRegistryTest,testUnsubscribe,ASSERT org.junit.jupiter.api.Assertions.fail(),2
AbstractRegistryTest,testUnsubscribe,ASSERT org.junit.jupiter.api.Assertions.assertTrue(boolean),2
AbstractRegistryTest,testUnsubscribe,org.apache.dubbo.registry.support.AbstractRegistry.getSubscribed(),2
AbstractRegistryTest,testUnsubscribe,ASSERT org.junit.jupiter.api.Assertions.assertNull(Object),2
AbstractRegistryTest,testUnsubscribe,"org.apache.dubbo.registry.support.AbstractRegistry.subscribe(URL, NotifyListener)",0
AbstractRegistryTest,testUnsubscribe,"org.apache.dubbo.registry.support.AbstractRegistry.unsubscribe(URL, NotifyListener)",1
AbstractRegistryTest,testUnsubscribe,org.apache.dubbo.registry.support.AbstractRegistry.getSubscribed(),2
AbstractRegistryTest,testUnsubscribe,ASSERT org.junit.jupiter.api.Assertions.assertNotNull(Object),2
AbstractRegistryTest,testUnsubscribe,org.apache.dubbo.registry.support.AbstractRegistry.getSubscribed(),2
AbstractRegistryTest,testUnsubscribe,ASSERT org.junit.jupiter.api.Assertions.assertFalse(boolean),2
