testClassName,testMethodName,potentialTargetQualifiedName,AAA
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.ServiceDefinitionBuilder.buildFullDefinition(Class<?>),1
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.ServiceDefinition.getMethods(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.MethodDefinition.getParameterTypes(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.ServiceDefinition.getTypes(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getProperties(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
ProtobufTypeBuilderTest,testProtobufBuilder,org.apache.dubbo.metadata.definition.model.TypeDefinition.getType(),2
